|Run	|Condition	|Block	$RunName	#DA	#ACh	#VSPatch	#LHbDip	#DipSum	#GiveUp	#LHbBurst	#PVpos	#PVneg	#SC	#C0_CS_DA	#C0_CS_VSPatch	#C0_US_DA	#C0_US_VSPatch	#C1_CS_DA	#C1_CS_VSPatch	#C1_US_DA	#C1_US_VSPatch
0	0	0	Base	0.2831	0.3266	0	0.002138	0.003062	0.07339	0.1241	0.1241	0	0.304	0.6441	0	0.9804	0	0.8166	0	0.4902	0
0	0	1	Base	0.2232	0.3266	0	0.002138	0.003062	0.07339	0.1241	0.1241	0	0.304	0.689	0	0.9804	0	0.3587	0	0.4902	0
0	0	2	Base	0.2434	0.3266	0	0.002138	0.003062	0.07339	0.1241	0.1241	0	0.304	0.8702	0	0.9804	0	0.5654	0	0.4902	0
0	0	3	Base	0.2811	0.3266	0.0003445	0.002138	0.003062	0.07339	0.1241	0.1241	0	0.304	0.9831	0	0.9528	0.02756	0.7581	0	0.4902	0
0	0	4	Base	0.2849	0.3266	0.01349	0.002138	0.003062	0.07339	0.1241	0.1241	0	0.304	1.078	0	0.66	0.3204	0.8341	0	0.4583	0.03191
0	0	5	Base	0.2646	0.3266	0.04847	0.002138	0.003062	0.07339	0.1241	0.1241	0	0.304	1.138	0	0.4666	0.5138	0.9027	0	0.3355	0.1547
0	0	6	Base	0.2513	0.3266	0.0706	0.002138	0.003062	0.07339	0.1241	0.1241	0	0.304	1.142	0	0.3698	0.6106	0.9569	0	0.2109	0.2793
0	0	7	Base	0.2579	0.3266	0.0721	0.002138	0.003062	0.07339	0.1241	0.1241	0	0.304	1.165	0	0.3225	0.6579	1.006	0	0.2161	0.2741
0	0	8	Base	0.2033	0.2962	0.09764	0.007405	0.03198	0.03045	0.1241	0.1241	0	0.2577	1.172	0	0.163	0.8174	0.7622	0	0.1507	0.3395
0	0	9	Base	0.2288	0.3208	0.09672	0.00889	0.01991	0.03045	0.1241	0.1241	0	0.304	1.016	0	0.2288	0.7516	1.063	0	0.04518	0.445
0	0	10	Base	0.2266	0.3425	0.0878	0.01123	0.03559	0.07467	0.1246	0.1246	0	0.2704	0.8739	0	0.2962	0.6866	0.7817	0	0.07799	0.4122
0	0	11	Base	0.2201	0.3218	0.1109	0.01949	0.0242	0.04295	0.1241	0.1241	0	0.304	1.029	0	0.1609	0.8195	1.088	0	0.01377	0.4764
0	0	12	Base	0.2134	0.3266	0.1324	0.03289	0.03762	0.08926	0.1241	0.1241	0	0.304	1.2	0	0.02083	0.9296	1.114	0	-0.0735	0.5637
