#X	#Y	#DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#Cyt_Ca	#PSD_Ca	#Cyt_CaM	#Cyt_Ca3CaM	#PSD_CaM	#PSD_Ca3CaM	#Cyt_CaMKIIact	#PSD_CaMKIIact	#Cyt_DAPK1act	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_DAPK1_AutoK	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
80	500	-0.0516122	-64.9999	0	0.0405832	1.46716e-36	3.49474e-31	5.95421e-37	0.827816	0.164808	0.00737629	0.0500432	0.050034	105.151	0.000147155	105.155	0.000197504	0.282968	2.18781	2.01543	0.139638	2.01562	0.139639	0.0813694	0.0813746	0.00179701	0.0148296	0.0911661	0.00241167	0.0148374	0.0911664	0.754842	0.0130692	0.754941	0.0784588	6.25123	0.271003	0.278323	1.632
90	500	-0.0566405	-64.9999	0	0.0405832	1.4605e-36	3.47888e-31	5.92719e-37	0.827968	0.164662	0.00736977	0.050043	0.0500338	105.042	0.000146516	105.046	0.000196644	0.281503	2.1737	2.00571	0.139643	2.0059	0.139643	0.0809698	0.0809749	0.00178913	0.0147096	0.0892952	0.00240106	0.0147174	0.0892955	0.745477	0.0132313	0.745575	0.0794319	6.25458	0.269901	0.277988	1.62335
100	500	-0.0160169	-64.9999	0	0.0405832	1.44123e-36	3.43297e-31	5.84897e-37	0.827034	0.165556	0.00740979	0.0500446	0.0500351	105.702	0.000151427	105.706	0.000203239	0.29481	2.30386	2.07609	0.139611	2.07628	0.139612	0.0840468	0.0840521	0.00184973	0.0156953	0.103685	0.00248242	0.0157032	0.103685	0.81282	0.0121478	0.812926	0.0729272	6.22952	0.277003	0.2799	1.69326
10	600	-0.13153	-64.9999	0	0.0405832	1.74346e-36	4.1529e-31	7.07554e-37	0.836873	0.156139	0.00698812	0.0500289	0.0500226	98.797	0.000103636	98.8006	0.000138708	0.253781	1.93556	1.45874	0.139877	1.45888	0.139877	0.0542346	0.0542387	0.00126103	0.0104101	0.0426799	0.00168764	0.0104171	0.0426804	0.522644	0.0187692	0.522712	0.112679	6.30841	0.247862	0.2797	1.49448
20	600	-0.133804	-64.9999	0	0.0405832	1.69681e-36	4.04177e-31	6.88622e-37	0.833594	0.159277	0.00712864	0.0500344	0.0500269	101.077	0.000119914	101.081	0.000160679	0.260835	1.99137	1.6578	0.139793	1.65796	0.139794	0.0643777	0.0643822	0.0014613	0.0117193	0.0503983	0.00195791	0.0117266	0.0503989	0.542621	0.0180906	0.542693	0.108605	6.31458	0.244318	0.273103	1.49057
30	600	-0.125465	-64.9999	0	0.0405832	1.65652e-36	3.94579e-31	6.72269e-37	0.831929	0.160871	0.00720001	0.0500369	0.0500289	102.246	0.000127615	102.25	0.000171089	0.26486	2.0242	1.7563	0.139751	1.75647	0.139752	0.0691739	0.0691786	0.00155613	0.0124055	0.0571707	0.00208607	0.0124129	0.0571713	0.576712	0.017039	0.576788	0.102292	6.30833	0.247278	0.271905	1.50492
40	600	-0.103858	-64.9999	0	0.0405832	1.62692e-36	3.87528e-31	6.60255e-37	0.829997	0.16272	0.00728281	0.0500397	0.0500311	103.61	0.000136342	103.614	0.000182892	0.270608	2.07319	1.87124	0.139702	1.87142	0.139702	0.0746121	0.0746171	0.00166366	0.0133101	0.0689084	0.00223149	0.0133177	0.0689089	0.64078	0.0153609	0.640865	0.0922175	6.29054	0.255468	0.273108	1.5421
50	600	-0.0956986	-64.9999	0	0.0405832	1.5994e-36	3.80975e-31	6.4909e-37	0.829498	0.163198	0.00730421	0.0500404	0.0500317	103.966	0.000138341	103.969	0.000185595	0.272433	2.0893	1.89977	0.139689	1.89995	0.13969	0.0758579	0.0758629	0.0016883	0.0135613	0.0727905	0.0022648	0.0135689	0.072791	0.662534	0.0148639	0.662622	0.0892332	6.28392	0.258397	0.273855	1.55614
60	600	-0.0513618	-64.9999	0	0.0405832	1.57279e-36	3.74634e-31	6.38288e-37	0.82763	0.164985	0.00738425	0.0500431	0.0500339	105.291	0.000146916	105.295	0.000197177	0.283431	2.19168	2.01859	0.139637	2.01879	0.139637	0.0812145	0.0812197	0.00179403	0.0148235	0.0914748	0.0024076	0.0148313	0.0914751	0.757556	0.0130229	0.757655	0.0781813	6.25135	0.270873	0.277921	1.63244
70	600	-0.0427199	-64.9999	0	0.0405832	1.56081e-36	3.71782e-31	6.33428e-37	0.827315	0.165287	0.00739776	0.0500436	0.0500343	105.515	0.000148306	105.519	0.000199051	0.286105	2.21724	2.03918	0.139627	2.03937	0.139628	0.0820847	0.0820899	0.00181118	0.015067	0.0949205	0.0024307	0.0150748	0.0949208	0.773546	0.012757	0.773648	0.0765849	6.24581	0.272586	0.278373	1.64731
