|Expt	|Run	|Epoch	$RunName	#NCorrect	#RewPred	#Rew	#RPE	#PerTrlMSec
0	13	3	2024-02-29-seq3x5pgi_49u_good_Base	0.6172	0.1037	0.0651	-0.03869	60.41
0	13	4	2024-02-29-seq3x5pgi_49u_good_Base	0.5078	0.1036	0.07813	-0.02528	59.83
0	13	5	2024-02-29-seq3x5pgi_49u_good_Base	0.7891	0.1063	0.1406	0.0348	58.35
0	13	6	2024-02-29-seq3x5pgi_49u_good_Base	1.828	0.1218	0.4896	0.3715	60.38
0	13	7	2024-02-29-seq3x5pgi_49u_good_Base	2.891	0.1731	0.9375	0.7722	63.01
0	13	8	2024-02-29-seq3x5pgi_49u_good_Base	2.969	0.2342	0.974	0.7472	61.92
0	13	9	2024-02-29-seq3x5pgi_49u_good_Base	2.984	0.2922	0.9948	0.7097	62.49
0	14	0	2024-02-29-seq3x5pgi_49u_good_Base	1	0.1021	0.1094	0.007667	0
0	14	1	2024-02-29-seq3x5pgi_49u_good_Base	0.7422	0.1039	0.09375	-0.01006	61.97
0	14	2	2024-02-29-seq3x5pgi_49u_good_Base	0.6328	0.1037	0.07031	-0.03336	61.77
0	14	3	2024-02-29-seq3x5pgi_49u_good_Base	0.8438	0.1049	0.1328	0.02835	59.03
0	14	4	2024-02-29-seq3x5pgi_49u_good_Base	0.8906	0.1106	0.1354	0.02518	59.71
0	14	5	2024-02-29-seq3x5pgi_49u_good_Base	1.547	0.1198	0.2969	0.1789	62.43
0	14	6	2024-02-29-seq3x5pgi_49u_good_Base	1.492	0.132	0.2734	0.1429	62.36
0	14	7	2024-02-29-seq3x5pgi_49u_good_Base	1.148	0.1407	0.2005	0.06041	61.34
0	14	8	2024-02-29-seq3x5pgi_49u_good_Base	0.3516	0.1368	0.03125	-0.1067	60.92
0	14	9	2024-02-29-seq3x5pgi_49u_good_Base	0.5078	0.1312	0.08594	-0.04573	60.44
0	14	10	2024-02-29-seq3x5pgi_49u_good_Base	0.5781	0.1271	0.0625	-0.06522	58.85
0	14	11	2024-02-29-seq3x5pgi_49u_good_Base	0.6328	0.1247	0.112	-0.01274	57.96
0	14	12	2024-02-29-seq3x5pgi_49u_good_Base	1.148	0.1262	0.1849	0.05932	58.44
0	14	13	2024-02-29-seq3x5pgi_49u_good_Base	1.281	0.1336	0.2526	0.1202	58.76
0	14	14	2024-02-29-seq3x5pgi_49u_good_Base	1.227	0.142	0.2135	0.07226	56.64
0	14	15	2024-02-29-seq3x5pgi_49u_good_Base	0.9844	0.1438	0.1458	0.002016	56.54
0	14	16	2024-02-29-seq3x5pgi_49u_good_Base	0.8125	0.144	0.1276	-0.01659	59.52
0	14	17	2024-02-29-seq3x5pgi_49u_good_Base	0.3281	0.1382	0.02344	-0.1159	60.89
0	14	18	2024-02-29-seq3x5pgi_49u_good_Base	0.7266	0.1327	0.1172	-0.01568	59.74
